"","V2","V96","V97","V98","V99","V37","V39","V46","V258"
"1",12,8,7,6,8,2,2,-4,1
"2",12,7,5,5,4,2,2,-4,1
"3",12,7,7,7,5,2,2,-4,1
"4",12,9,5,6,4,2,2,-4,1
"5",12,8,4,7,4,2,1,-4,1
"6",12,8,5,5,7,2,1,-4,1
"7",12,6,5,7,5,2,2,-4,1
"8",12,8,8,4,6,1,2,-4,1
"9",12,7,9,9,5,2,2,-4,1
"10",12,6,4,7,7,2,2,-4,1
"11",12,8,4,4,6,2,1,-4,1
"12",12,6,3,6,8,2,2,-4,1
"13",12,7,4,7,4,1,2,-4,1
"14",12,8,4,8,5,2,2,-4,1
"15",12,7,4,3,6,2,1,-4,1
"16",12,6,7,4,6,1,2,-4,1
"17",12,8,5,7,6,2,2,-4,1
"18",12,7,9,4,7,2,2,-4,1
"19",12,7,8,6,8,2,2,-4,1
"20",12,5,5,3,4,1,2,-4,1
"21",12,9,5,5,1,2,2,-4,1
"22",12,10,5,1,1,2,2,-4,1
"23",12,5,5,1,10,2,2,-4,1
"24",12,10,-2,1,-2,2,2,-4,1
"25",12,10,6,10,1,2,2,-4,1
"26",12,10,10,1,1,2,2,-4,1
"27",12,9,10,5,1,2,1,-4,1
"28",12,10,5,4,10,2,2,-4,1
"29",12,10,5,1,1,2,2,-4,1
"30",12,10,5,1,1,2,2,-4,1
"31",12,10,5,5,5,2,2,-4,1
"32",12,8,4,1,4,2,2,-4,1
"33",12,10,4,3,3,2,2,-4,1
"34",12,9,5,2,4,2,2,-4,1
"35",12,9,3,2,4,2,2,-4,1
"36",12,10,6,1,1,2,2,-4,1
"37",12,10,2,1,2,2,2,-4,1
"38",12,10,5,3,4,1,1,-4,1
"39",12,10,5,3,4,1,1,-4,1
"40",12,10,1,1,1,2,2,-4,1
"41",12,-1,-1,5,7,2,2,-4,1
"42",12,10,7,1,1,2,2,-4,1
"43",12,10,10,5,1,2,2,-4,1
"44",12,1,6,8,3,2,1,-4,1
"45",12,1,1,1,1,1,1,-4,1
"46",12,10,10,3,2,2,2,-4,1
"47",12,10,5,5,3,2,2,-4,1
"48",12,8,5,6,1,2,2,-4,1
"49",12,7,10,3,3,2,1,-4,1
"50",12,1,1,1,1,1,1,-4,1
"51",12,4,4,1,-2,2,2,-4,1
"52",12,10,5,1,1,2,2,-4,1
"53",12,5,5,1,1,2,2,-4,1
"54",12,4,2,5,1,2,2,-4,1
"55",12,9,2,9,9,2,1,-4,1
"56",12,10,2,3,1,2,2,-4,1
"57",12,10,5,9,9,2,2,-4,1
"58",12,10,5,5,1,2,2,-4,1
"59",12,2,4,2,2,2,1,-4,1
"60",12,10,-2,1,-1,2,2,-4,1
"61",12,10,7,1,1,2,2,-4,1
"62",12,7,5,6,4,2,2,-4,1
"63",12,10,3,1,1,2,2,-4,1
"64",12,-1,-1,9,8,2,2,-4,1
"65",12,9,7,2,1,2,2,-4,1
"66",12,10,-1,1,1,2,2,-4,1
"67",12,1,3,1,3,2,2,-4,1
"68",12,10,5,1,1,2,2,-4,1
"69",12,1,3,1,1,2,2,-4,1
"70",12,1,-1,1,1,1,1,-4,1
"71",12,5,7,5,5,2,1,-4,1
"72",12,1,1,1,1,2,2,-4,1
"73",12,5,5,10,1,2,2,-4,1
"74",12,1,1,1,1,2,2,-4,1
"75",12,5,5,10,1,2,2,-4,1
"76",12,5,7,5,5,1,1,-4,1
"77",12,5,7,5,5,1,1,-4,1
"78",12,1,10,1,5,2,2,-4,1
"79",12,5,-2,1,-1,2,2,-4,1
"80",12,1,10,1,5,2,2,-4,1
"81",12,5,7,5,5,1,1,-4,1
"82",12,5,7,5,5,2,1,-4,1
"83",12,1,1,1,1,2,2,-4,1
"84",12,8,7,5,5,1,1,-4,1
"85",12,5,7,5,5,1,1,-4,1
"86",12,8,7,5,5,1,1,-4,1
"87",12,6,5,10,1,2,2,-4,1
"88",12,5,7,5,5,2,1,-4,1
"89",12,-1,10,-2,-2,2,2,-4,1
"90",12,1,10,1,5,2,2,-4,1
"91",12,1,1,1,1,2,1,-4,1
"92",12,1,1,1,1,2,1,-4,1
"93",12,5,5,10,1,2,2,-4,1
"94",12,1,1,1,1,2,2,-4,1
"95",12,6,5,10,1,2,2,-4,1
"96",12,8,7,5,5,1,1,-4,1
"97",12,8,7,5,5,1,1,-4,1
"98",12,1,10,1,5,2,2,-4,1
"99",12,5,-2,1,-1,2,2,-4,1
"100",12,1,10,1,5,2,2,-4,1
"101",12,5,7,5,5,2,1,-4,1
"102",12,5,7,5,5,1,1,-4,1
"103",12,5,7,5,5,2,1,-4,1
"104",12,5,7,5,5,1,1,-4,1
"105",12,5,5,10,1,2,2,-4,1
"106",12,5,5,10,1,2,2,-4,1
"107",12,1,1,1,1,2,2,-4,1
"108",12,1,1,1,1,2,2,-4,1
"109",12,5,5,10,1,2,2,-4,1
"110",12,1,1,1,1,2,2,-4,1
"111",12,5,7,5,5,2,1,-4,1
"112",12,5,5,10,1,2,2,-4,1
"113",12,1,1,1,1,2,2,-4,1
"114",12,5,7,5,5,2,1,-4,1
"115",12,-1,10,-2,-2,2,2,-4,1
"116",12,6,5,10,1,2,2,-4,1
"117",12,-1,10,-2,-2,2,2,-4,1
"118",12,1,10,1,5,2,2,-4,1
"119",12,5,7,5,5,2,1,-4,1
"120",12,8,7,5,5,1,1,-4,1
"121",12,5,7,5,5,2,1,-4,1
"122",12,5,8,5,5,2,1,-4,1
"123",12,1,1,1,1,2,2,-4,1
"124",12,8,7,5,5,1,1,-4,1
"125",12,5,8,5,5,2,1,-4,1
"126",12,5,5,10,1,2,2,-4,1
"127",12,8,7,5,5,1,1,-4,1
"128",12,6,5,10,1,2,2,-4,1
"129",12,-1,10,-2,-2,2,2,-4,1
"130",12,5,-2,1,-1,2,2,-4,1
"131",12,3,3,3,7,1,1,-4,1
"132",12,3,2,3,5,2,1,-4,1
"133",12,2,4,3,2,2,2,-4,1
"134",12,5,6,2,5,2,1,-4,1
"135",12,3,3,2,4,2,1,-4,1
"136",12,4,5,2,-1,1,1,-4,1
"137",12,3,3,2,2,2,2,-4,1
"138",12,2,8,3,-1,2,2,-4,1
"139",12,3,3,4,4,1,1,-4,1
"140",12,3,-1,3,-1,1,1,-4,1
"141",12,2,3,2,5,2,2,-4,1
"142",12,5,5,2,5,2,1,-4,1
"143",12,7,6,3,2,2,1,-4,1
"144",12,3,-1,1,-1,2,1,-4,1
"145",12,1,5,3,2,2,2,-4,1
"146",12,2,3,1,5,2,1,-4,1
"147",12,2,-1,1,-1,2,1,-4,1
"148",12,1,6,1,6,2,2,-4,1
"149",12,5,-1,8,-1,2,2,-4,1
"150",12,1,-1,1,-1,1,2,-4,1
"151",12,5,5,7,8,1,2,-4,1
"152",12,8,8,5,1,1,1,-4,1
"153",12,7,4,7,4,1,1,-4,1
"154",12,6,4,7,6,1,1,-4,1
"155",12,5,1,1,1,1,2,-4,1
"156",12,7,4,7,6,2,2,-4,1
"157",12,7,7,6,2,2,2,-4,1
"158",12,6,4,7,5,1,1,-4,1
"159",12,7,5,5,8,1,1,-4,1
"160",12,1,1,1,1,1,1,-4,1
"161",12,-1,-1,5,7,2,2,-4,1
"162",12,8,3,1,1,2,2,-4,1
"163",12,-1,-1,-1,-1,2,1,-4,1
"164",12,10,10,1,1,2,1,-4,1
"165",12,10,10,1,1,2,2,-4,1
"166",12,1,10,1,1,2,2,-4,1
"167",12,1,2,1,1,2,2,-4,1
"168",12,-1,-1,1,1,2,2,-4,1
"169",12,6,8,6,8,1,1,-4,1
"170",12,1,10,1,1,2,2,-4,1
"171",12,8,8,1,3,2,2,-4,1
"172",12,8,1,6,10,2,2,-4,1
"173",12,10,10,4,5,1,1,-4,1
"174",12,7,7,1,5,2,2,-4,1
"175",12,10,10,1,1,1,2,-4,1
"176",12,-1,10,1,1,1,1,-4,1
"177",12,10,10,1,1,1,1,-4,1
"178",12,10,5,1,1,2,2,-4,1
"179",12,8,10,1,1,2,2,-4,1
"180",12,9,1,3,3,1,1,-4,1
"181",12,6,3,2,2,2,2,-4,1
"182",12,5,5,3,9,2,2,-4,1
"183",12,5,5,2,3,2,2,-4,1
"184",12,10,10,1,3,2,2,-4,1
"185",12,10,4,1,1,1,2,-4,1
"186",12,8,5,3,3,1,1,-4,1
"187",12,10,1,1,5,2,2,-4,1
"188",12,8,4,2,1,1,1,-4,1
"189",12,10,10,2,2,2,2,-4,1
"190",12,10,2,2,7,1,2,-4,1
"191",12,7,2,10,1,2,2,-4,1
"192",12,6,10,5,1,2,2,-4,1
"193",12,5,5,6,10,1,1,-4,1
"194",12,10,10,1,6,2,2,-4,1
"195",12,1,10,1,1,2,2,-4,1
"196",12,10,5,5,1,2,2,-4,1
"197",12,-1,-1,7,1,2,2,-4,1
"198",12,-1,-1,-1,-1,2,2,-4,1
"199",12,-1,-1,-1,-1,2,2,-4,1
"200",12,-2,10,10,1,2,1,-4,1
"201",12,5,6,5,6,1,1,-4,1
"202",12,6,9,1,1,2,2,-4,1
"203",12,10,10,1,1,2,2,-4,1
"204",12,-1,-1,-1,-1,1,1,-4,1
"205",12,5,5,4,1,2,2,-4,1
"206",12,1,1,1,1,1,1,-4,1
"207",12,1,1,7,1,1,1,-4,1
"208",12,5,1,1,1,2,2,-4,1
"209",12,-1,-1,5,5,2,2,-4,1
"210",12,6,6,6,6,2,1,-4,1
"211",12,6,7,5,7,2,1,-4,1
"212",12,3,7,7,7,2,2,-4,1
"213",12,1,7,7,4,2,2,-4,1
"214",12,10,7,3,1,2,1,-4,1
"215",12,5,5,5,2,2,2,-4,1
"216",12,4,8,4,7,2,1,-4,1
"217",12,4,7,4,7,2,1,-4,1
"218",12,5,7,5,8,1,1,-4,1
"219",12,3,4,6,8,2,2,-4,1
"220",12,2,7,3,7,2,1,-4,1
"221",12,7,7,3,1,2,2,-4,1
"222",12,6,7,4,-1,2,2,-4,1
"223",12,8,10,4,4,2,2,-4,1
"224",12,8,10,8,3,2,2,-4,1
"225",12,7,7,3,2,2,2,-4,1
"226",12,7,8,3,3,2,2,-4,1
"227",12,2,8,6,8,2,2,-4,1
"228",12,10,10,8,1,2,2,-4,1
"229",12,9,4,7,9,1,2,-4,1
"230",12,7,6,4,1,2,2,-4,1
"231",12,2,6,7,3,1,1,-4,1
"232",12,7,4,4,7,1,1,-4,1
"233",12,7,4,6,8,1,1,-4,1
"234",12,3,9,3,7,2,1,-4,1
"235",12,3,9,5,1,2,2,-4,1
"236",12,1,5,5,2,2,1,-4,1
"237",12,8,3,6,4,2,1,-4,1
"238",12,3,7,6,3,2,1,-4,1
"239",12,6,9,3,7,1,1,-4,1
"240",12,8,4,5,3,2,1,-4,1
"241",12,6,10,5,10,2,1,-4,1
"242",12,9,7,3,6,2,1,-4,1
"243",12,9,7,6,9,2,1,-4,1
"244",12,5,10,1,7,1,1,-4,1
"245",12,1,10,1,6,2,1,-4,1
"246",12,1,10,6,8,2,1,-4,1
"247",12,5,6,1,10,1,1,-4,1
"248",12,1,10,10,6,2,1,-4,1
"249",12,1,-1,5,4,2,2,-4,1
"250",12,7,-2,9,6,2,1,-4,1
"251",12,6,8,5,2,2,1,-4,1
"252",12,9,3,3,7,2,1,-4,1
"253",12,8,4,3,1,2,1,-4,1
"254",12,8,5,3,1,2,1,-4,1
"255",12,1,9,5,1,1,1,-4,1
"256",12,1,9,1,10,1,1,-4,1
"257",12,7,5,5,1,2,1,-4,1
"258",12,7,7,2,10,1,2,-4,1
"259",12,9,10,5,5,2,1,-4,1
"260",12,1,7,3,7,1,1,-4,1
"261",12,8,8,1,1,2,1,-4,1
"262",12,8,4,3,1,2,1,-4,1
"263",12,9,8,4,3,2,2,-4,1
"264",12,6,8,2,8,1,1,-4,1
"265",12,-1,1,1,1,2,2,-4,1
"266",12,-1,-1,-2,-1,2,2,-4,1
"267",12,1,10,1,1,2,2,-4,1
"268",12,7,6,1,3,1,2,-4,1
"269",12,-2,-1,-1,-1,2,2,-4,1
"270",12,10,10,5,3,1,1,-4,1
"271",12,8,8,3,2,1,1,-4,1
"272",12,3,8,5,1,1,1,-4,1
"273",12,9,8,9,1,1,1,-4,1
"274",12,5,10,1,1,2,1,-4,1
"275",12,3,2,4,2,1,1,-4,1
"276",12,3,10,5,2,2,2,-4,1
"277",12,6,1,1,1,1,1,-4,1
"278",12,10,5,5,1,2,2,-4,1
"279",12,5,5,1,1,2,2,-4,1
"280",12,10,10,5,1,2,2,-4,1
"281",12,7,5,10,5,2,2,-4,1
"282",12,8,5,8,1,2,1,-4,1
"283",12,3,3,5,1,2,2,-4,1
"284",12,1,10,1,1,2,2,-4,1
"285",12,7,8,5,2,1,2,-4,1
"286",12,4,6,5,4,2,2,-4,1
"287",12,2,10,1,1,2,2,-4,1
"288",12,7,5,1,1,1,1,-4,1
"289",12,8,2,4,2,2,2,-4,1
"290",12,8,8,1,1,2,2,-4,1
"291",12,10,8,4,2,1,1,-4,1
"292",12,1,1,1,1,2,1,-4,1
"293",12,-1,-1,5,4,2,2,-4,1
"294",12,4,10,1,1,1,1,-4,1
"295",12,5,9,5,8,1,1,-4,1
"296",12,10,8,9,9,2,2,-4,1
"297",12,10,10,10,6,2,2,-4,1
"298",12,6,8,5,1,1,1,-4,1
"299",12,9,10,5,1,2,1,-4,1
"300",12,8,7,7,3,2,2,-4,1
"301",12,10,10,4,1,1,1,-4,1
"302",12,10,10,10,1,2,2,-4,1
"303",12,1,1,1,1,2,2,-4,1
"304",12,10,10,1,1,1,1,-4,1
"305",12,10,10,1,1,1,2,-4,1
