,rac,ec,V2,V258
1205,0,0.344293871,32,0.469330189
1206,0.414213562,0.113027642,32,0.486510638
1207,0.414213562,0.182365983,32,0.469330189
1208,0.414213562,0.243578909,32,0.486510638
1209,0,0.29738842,32,0.469330189
1210,0.414213562,0.234580539,32,0.469330189
1211,0.414213562,0.375773438,32,0.37659375
1212,0.681792831,0.565853242,32,0.37659375
1213,0.414213562,0.613666431,32,0.37659375
1214,0.414213562,0.3171302,32,0.37659375
1215,0.224744871,0.476122205,32,0.37659375
1216,0.414213562,0.328924622,32,0.37659375
1217,0.681792831,0.412918641,32,0.37659375
1218,0,0.297950912,32,0.469330189
1219,0.224744871,0.256451344,32,0.469330189
1220,0.414213562,0.41943019,32,0.37659375
1221,0,0.414560622,32,0.469330189
1222,0.414213562,0.556543432,32,0.486510638
1223,0.224744871,0.49897084,32,0.486510638
1224,0,0.319965826,32,0.469330189
1225,0.224744871,0.266779881,32,0.469330189
1226,0.414213562,0.52136087,32,0.469330189
1227,0.414213562,0.303656512,32,0.469330189
1231,0.414213562,0.390014235,32,0.37659375
1232,0.224744871,0.143141831,32,0.315866667
1233,0.414213562,0.209792002,32,0.469330189
1234,0.414213562,0.445451723,32,0.486510638
1235,0.681792831,0.485997217,32,0.469330189
1236,0,0.420183563,32,0.469330189
1237,0.414213562,0.49897084,32,0.469330189
1238,0,0.349338332,32,0.469330189
1240,0,0.414616431,32,0.469330189
1241,0.414213562,0.453889331,32,0.315866667
1242,0,0.566811245,32,0.469330189
1243,0,0.276569477,32,0.469330189
1245,0,0.358055613,32,0.486510638
1246,0,0.29856825,32,0.486510638
1248,0,0.242940357,32,0.469330189
1249,0.224744871,0.239213302,32,0.469330189
1250,0,0.286168104,32,0.486510638
1251,0.224744871,0.150882482,32,0.486510638
1252,0.224744871,0.290036381,32,0.469330189
1253,0.414213562,0.200662235,32,0.486510638
1254,0.414213562,0.135183783,32,0.486510638
1255,0,0.088866889,32,0.469330189
1256,0.414213562,0.394194839,32,0.469330189
1258,0,0.365818526,32,0.37659375
1259,0.414213562,0.479106686,32,0.37659375
1260,0,0.052328367,32,0.469330189
1261,0.414213562,0.063204503,32,0.486510638
1262,0.414213562,0.587401052,32,0.315866667
1263,0,0.414213562,32,0.315866667
1264,0,0.063204503,32,0.315866667
1267,0,0.309771259,32,0.37659375
1270,0,0.185359883,32,0.469330189
1272,0,0.626179,32,0.37659375
1276,0,0.447685638,32,0.486510638
1279,0,0.49897084,32,0.37659375
1280,0,0.479106686,32,0.469330189
1281,0.414213562,0.380226944,32,0.469330189
1282,0.414213562,0.25992105,32,0.486510638
1283,0,0.552694189,32,0.469330189
1284,0.224744871,0.671730273,32,0.469330189
1285,0.414213562,0.485997217,32,0.469330189
1288,0.414213562,0.429259296,32,0.469330189
1289,0.224744871,0.450137285,32,0.37659375
1290,0.414213562,0.448116177,32,0.469330189
1291,0,0.290934362,32,0.469330189
1292,0.414213562,0.248472934,32,0.469330189
1293,0,0.155293758,32,0.469330189
1294,0,0.306561987,32,0.469330189
1295,0.414213562,0.363984534,32,0.486510638
