"Country_wave","Coefficients"
"South Korea 1990",0.00228403105810753
"Mexico 2005",0.00201559644785754
"United States 2006",0.0019367010807478
"France 1999",0.00190190012079675
"Turkey 1990",0.00181704254759398
"United States 2011",0.00178252126118208
"Sweden 2011",0.00157264791440169
"Luxembourg 2008",0.00156905680375269
"Canada 2006",0.00151527966714963
"Northern Ireland 2008",0.00147090316294302
"Turkey 2001",0.00139581070285619
"United States 1999",0.00135356697097062
"Great Britain 1999",0.00120572296355829
"Australia 1995",0.00117718441035381
"Italy 2005",0.00117285161813171
"Mexico 2012",0.00114005548682473
"Switzerland 1996",0.00107967342049324
"Sweden 2006",0.00107787429823288
"Norway 1996",0.00107225951468541
"Switzerland 2008",0.00104429006439807
"Sweden 1996",0.000958761858294807
"United States 1995",0.000931472940656643
"France 2008",0.000925056854664574
"Switzerland 2007",0.000824414944406571
"Northern Ireland 1999",0.000784355312405004
"Spain 1995",0.000767624008289181
"Mexico 1996",0.000751865380862426
"Greece 2008",0.000741465725566872
"Turkey 2009",0.000731559819733483
"Austria 2008",0.000728600344648101
"Canada 2000",0.000687028496190738
"Germany 2013",0.000681952443901258
"Belgium 2009",0.000667798328616107
"Spain 2000",0.000666940672184454
"Chile 2000",0.000648936506834473
"Italy 1999",0.000623489585381737
"Italy 2009",0.000601755867362956
"South Korea 2001",0.000589621368256467
"New Zealand 2004",0.000568794281892334
"Japan 2000",0.000568072653233166
"Ireland 1999",0.000565674244731679
"Japan 2005",0.000522946253392842
"Spain 2008",0.000504578507416507
"South Korea 2005",0.000503619818766763
"Sweden 2009",0.00050254534916852
"Ireland 2008",0.00049077714142209
"South Korea 1996",0.000459623713490702
"Australia 2012",0.000438589507204898
"Australia 2005",0.000406251260149556
"Mexico 2000",0.000368789588471476
"Spain 2007",0.000357783927038604
"Germany 2008",0.000337355598431829
"South Korea 2010",0.000319814021007129
"Chile 2012",0.000279775521916606
"Turkey 2012",0.000277421113455553
"Great Britain 2009",0.000238935430295181
"Norway 2007",0.000229372470835763
"Chile 1996",0.000188551761618915
"New Zealand 1998",0.000167647827110087
"New Zealand 2011",0.000166113584961164
"Slovenia 2011",0.000150578985296561
"Norway 2008",0.000149147312604298
"Finland 2005",6.76904465154992e-05
"Austria 1999",3.21501692324886e-05
"Japan 2010",-2.79528498447204e-05
"Netherlands 2008",-6.93611486703703e-05
"Netherlands 2012",-9.71029933060921e-05
"Netherlands 1999",-0.00010378761237861
"Spain 2011",-0.000138332378323984
"Germany 1997",-0.000154880018257937
"Turkey 1996",-0.000240526187025637
"Chile 2006",-0.000282059163446325
"Denmark 2008",-0.000319422426652684
"Slovenia 2005",-0.000341590566404575
"Slovenia 2008",-0.000346646843584073
"Slovenia 1995",-0.000348857961606123
"Portugal 2008",-0.000354906114783929
"Germany 2006",-0.000366503524843831
"Turkey 2007",-0.000374342339604412
"Finland 2000",-0.000385937927566211
"Czech Republic 1998",-0.000390477175483409
"Hungary 2008",-0.000500399727344835
"Estonia 2008",-0.000599738058944519
"Hungary 2009",-0.000751084905227409
"Poland 2008",-0.000774152148884659
"Poland 1997",-0.000809840378057848
"Lithuania 2008",-0.000918332584486033
"Poland 1999",-0.000924092259773406
"Hungary 1998",-0.000955800268546844
"Poland 2005",-0.00103783116667295
"Iceland 2009",-0.00109003439428331
"Finland 2009",-0.00109127226792596
"Latvia 2008",-0.00109653252918968
"Poland 2012",-0.00116076288343256
"Czech Republic 1999",-0.00117589402987561
"Finland 1996",-0.00120399923652874
"Iceland 1999",-0.00138459374430797
"Czech Republic 2008",-0.00151453611745888
"Slovakia 1998",-0.00151936964261734
"Estonia 1999",-0.00152872024457215
"Slovakia 2008",-0.00156599503515265
"Latvia 1996",-0.00163928966937268
"Estonia 2011",-0.00166084323591169
"Lithuania 1999",-0.00172928318027691
"Lithuania 1997",-0.00216376551650415
"Estonia 1996",-0.00230478266380354
