country,module,year,legelec,exeelec,executive,bicamera,assemblysize,formula,mixed_type,mdmh,list_type,federal,compulse,enforce,turnout1,turnout2,party_age,enep,enep_c,enpp,enpp_c,disprop,competi,freedom_t,freedom_t1,freedom_t2,polity_t,polity_t1,polity_t2,grouth_t,grouth_t1,grouth_t2,gdp_ppp_t,gdp_ppp_t1,gdp_ppp_t2,inflation_t,inflation_t1,inflation_t2,poptot_t,poptot_t1,poptot_t2,unemploy_t,unemploy_t1,unemploy_t2,
Albania,m2,2005,1,0,1,0,140,mixed,1,11.10,,0,0,NA,,,10.25,2.765,2.793,2.253,2.285,11.68,60.75,,3,3,,,7,,6.20,6.00,,4578.72,4321.71,,2.28,0.48,,3187976,3169064,,,,
Australia,m1,1996,1,0,2,1,150,majoritarian,NA,0.90,NA,1,1,3,95.8,82.5,78.00,3.156,3.184,2.569,2.573,11.60,93.40,1,1,1,10,10,10,3.75,4.25,4.23,23174.67,22708.52,22036.78,2.61,4.64,1.89,18312000,18063000,17847000,8.40,8.10,9.20,
Australia,m2,2004,1,0,2,1,150,majoritarian,NA,0.90,NA,1,1,3,,,47.00,3.126,3.131,2.438,2.440,8.52,2.36,1,1,1,,10,10,3.00,3.80,2.78,27872.23,27338.84,26619.29,2.34,2.77,3.00,20120000,19881000,19662800,,,6.00,
Belarus,m1,2001,0,1,1,1,110,majoritarian,NA,,NA,0,0,NA,83.9,81.3,,,,,,,,6,6,6,-7,-7,-7,4.70,5.80,3.40,5042.91,4802.11,4526.58,61.13,168.62,293.68,9970260,10005000,10035000,2.30,2.10,2.10,
Belgium,m2,2003,1,0,2,1,150,proportional,NA,7.50,1,1,1,3,96.3,,56.25,8.865,8.850,7.029,7.029,5.59,89.01,1,1,1.5,10,10,10,1.11,0.70,0.64,27708.90,27459.14,27560.83,1.59,1.64,2.47,10376000,10333000,10287000,,6.90,6.60,
Belgium-Flanders,m1,1999,1,0,2,1,150,proportional,NA,7.50,1,1,1,3,90.6,83.2,52.25,9.761,9.941,9.051,9.051,4.12,93.69,1.5,1.5,1.5,10,10,10,3.20,2.02,3.45,26426.04,25645.45,25230.54,1.12,0.95,1.63,10226000,10203000,10181000,8.60,9.10,8.90,
Belgium-Walloon,m1,1999,1,0,2,1,150,proportional,NA,7.50,1,1,1,3,90.6,83.2,52.25,9.761,9.941,9.051,9.051,4.12,93.69,1.5,1.5,1.5,10,10,10,3.20,2.02,3.45,26426.04,25645.45,25230.54,1.12,0.95,1.63,10226000,10203000,10181000,8.60,9.10,8.90,
Brazil,m2,2002,1,1,0,1,513,proportional,NA,19.00,0,1,1,2,79.5,,18.33,8.369,8.454,8.415,8.449,0.08,87.60,2.5,3,3,8,8,8,1.90,1.30,4.40,7480.46,7423.19,7366.20,8.45,6.84,7.04,174485400,172386000,170100000,,9.40,,
Bulgaria,m2,2001,1,1,1,0,240,proportional,NA,7.70,1,0,0,NA,66.6,72.1,12.00,3.924,3.941,2.917,2.917,7.52,18.08,2,2.5,2.5,9,8,8,4.10,5.40,2.30,6332.54,5990.11,5516.23,7.36,10.32,2.57,7910000,8060000,8208000,19.40,16.30,14.10,
Canada,m1,1997,1,0,2,1,301,majoritarian,NA,1.00,NA,1,0,NA,67,57.1,75.00,4.088,4.089,2.960,2.960,13.36,19.48,1,1,1,10,10,10,4.24,1.61,2.78,24375.41,23696.51,23600.21,1.62,1.58,2.17,29987200,29671900,29354000,9.10,9.60,9.40,
Canada,m2,2004,1,0,2,1,308,majoritarian,NA,1.00,NA,1,0,NA,,,77.00,3.767,3.789,3.030,3.030,10.06,59.15,1,1,1,,10,10,2.90,2.00,3.26,28809.02,28401.97,28154.64,1.83,2.77,2.25,31902430,31630000,31362000,,,7.70,
Chile,m1,1999,0,1,0,1,120,proportional,NA,2.00,0,0,1,2,90.6,72.8,20.50,6.542,6.560,4.915,4.928,8.44,56.88,2,2.5,2,8,8,8,-1.14,3.92,7.39,8818.87,9049.17,8911.64,3.34,5.11,6.14,15017800,14821700,14622400,8.90,7.20,5.30,
Chile,m2,2005,0,1,0,1,120,proportional,NA,2.00,0,0,1,2,,,13.00,6.052,6.057,5.560,5.587,6.63,54.99,,1,1,,,9,,6.06,3.30,,10630.97,9706.06,,1.05,2.81,,15956000,15774000,,,,
Czech Republic,m1,1996,1,0,2,1,200,proportional,NA,25.00,0,0,0,NA,76.3,77.6,6.00,5.319,5.325,4.147,4.147,5.69,80.08,1.5,1.5,1.5,10,10,10,4.16,5.95,2.22,14667.46,13920.12,13114.71,8.80,9.17,9.96,10315000,10331000,10336000,3.90,4.00,4.30,
