"Country_wave","Coefficients"
"Sweden 2011",8.28975059255322
"Sweden 2009",8.15777067232303
"Sweden 2006",7.61892681371035
"Netherlands 2012",7.27763987285693
"Sweden 1996",7.07627904163741
"Finland 2009",6.94583446362646
"Iceland 2009",6.50408052862066
"Denmark 2008",5.91578026982973
"New Zealand 2011",5.91277333779962
"Finland 2000",5.61122059626142
"Norway 2007",5.50315504340441
"Czech Republic 1998",5.37451969570901
"Norway 2008",5.35928132804145
"France 2008",5.35534197969646
"New Zealand 2004",5.33602608510013
"Italy 2005",5.25318595767107
"Chile 2012",5.18486126062177
"Czech Republic 2008",5.1356280568581
"Iceland 1999",5.07853904642735
"Norway 1996",5.04584969837683
"Switzerland 2007",4.81479070644637
"United States 2011",4.81281047299437
"New Zealand 1998",4.62653757182697
"Italy 2009",4.5704784836584
"Finland 2005",4.54094615374575
"Finland 1996",4.28017213525968
"Czech Republic 1999",4.20953029403619
"Australia 2005",4.14389826842826
"United States 2006",4.02421614247508
"Netherlands 1999",4.006691448021
"Estonia 2011",3.97145820752745
"Switzerland 2008",3.70757766726115
"Netherlands 2008",3.58914981591542
"Austria 2008",3.48819649306227
"France 1999",3.46549692449431
"Australia 2012",3.43626632644685
"Greece 2008",3.29814224066659
"Italy 1999",3.20750640919239
"Switzerland 1996",3.19865653318326
"Australia 1995",3.17181563982388
"United States 1995",3.16938207894067
"Lithuania 1997",3.12364424762512
"Spain 2011",3.07825587655954
"Great Britain 2009",3.06644429653104
"Germany 1997",3.055737971372
"Spain 2007",3.03162204454746
"Belgium 2009",2.9474019274895
"Great Britain 1999",2.92860598717865
"Canada 2006",2.91463888423699
"Germany 2006",2.60119020363087
"Germany 2013",2.49951085759331
"United States 1999",2.47128342369762
"Spain 2000",2.46898692373902
"Chile 2000",2.46544621375473
"Canada 2000",2.44030562579179
"Spain 2008",2.2816035939726
"Lithuania 1999",2.2676678803588
"Estonia 1996",2.22696335944391
"Japan 2000",2.20623747398168
"Latvia 1996",2.19419089967918
"Spain 1995",2.1846253828155
"Slovakia 2008",2.17534180952737
"Estonia 2008",2.16877463705479
"South Korea 2010",2.15643455781591
"Germany 2008",2.1060450758788
"Slovakia 1998",2.08640590128005
"Estonia 1999",1.96556565647413
"Portugal 2008",1.94804336459754
"Luxembourg 2008",1.86480090071328
"Turkey 1990",1.80328338780975
"Austria 1999",1.7666395668434
"Chile 2006",1.76377518836439
"Poland 1999",1.73455552999452
"South Korea 1990",1.67125325378331
"Japan 2005",1.59298783675719
"Mexico 1996",1.58999059013027
"Lithuania 2008",1.46979579563424
"Turkey 2007",1.40944530011524
"Slovenia 2005",1.36990595709509
"South Korea 1996",1.34765704113966
"Turkey 2001",1.2943021769717
"Mexico 2012",1.25787640628418
"Japan 2010",1.11602650410944
"Turkey 2009",1.03325524616222
"Turkey 2012",1.02515753181042
"Ireland 1999",1.02251834987715
"Chile 1996",1.00538756479656
"Poland 1997",1.00213007983762
"South Korea 2005",0.948315375420188
"Mexico 2005",0.661916576957785
"Ireland 2008",0.649350354142525
"Northern Ireland 1999",0.444593941779233
"Hungary 2009",0.40575609410972
"Slovenia 2008",0.360072920648741
"Slovenia 1995",0.328186135981608
"Poland 2012",0.261203923828108
"Poland 2005",0.257309395005569
"Turkey 1996",0.158335380507082
"Hungary 1998",0.0249566658933125
"South Korea 2001",0.0244324445995403
"Slovenia 2011",-0.228587806844239
"Poland 2008",-0.340602563942866
"Latvia 2008",-0.68914128475562
"Hungary 2008",-0.775652251385798
"Northern Ireland 2008",-0.892002466260485
"Mexico 2000",-1.64730951910855
