"Country_wave","Coefficients"
"Italy 2005",2.84306795606035
"Italy 2009",2.46583401409315
"France 2008",2.15544460690234
"Netherlands 2012",2.02914095981158
"Greece 1999",1.99386225226055
"Switzerland 2007",1.98322737052592
"France 1999",1.90433318408042
"Italy 1999",1.68876161118178
"Turkey 1996",1.67610019353712
"Netherlands 2006",1.65330776334915
"Estonia 1996",1.62686434503688
"Slovenia 2011",1.57691513151506
"Slovenia 2005",1.5593546374609
"Spain 1995",1.53237287224623
"Belgium 1999",1.50035815096125
"Latvia 1996",1.4942096916131
"Austria 1999",1.48870459462725
"Netherlands 2008",1.48646020380967
"Iceland 2009",1.44829417947704
"Switzerland 1996",1.43996328247421
"Switzerland 2008",1.42970970174009
"Sweden 1999",1.42770164517332
"Sweden 2009",1.41757223218475
"Spain 2008",1.38806264816747
"Sweden 2011",1.37193974504196
"Turkey 2012",1.35639510987102
"France 2006",1.33469161736581
"Germany 2006",1.31198404567486
"Germany 1999",1.26644057194256
"Spain 1999",1.26534424563899
"Spain 2007",1.26356365362441
"Germany 2008",1.23917359613879
"Sweden 2006",1.23416624468843
"Austria 2008",1.22159440469851
"Denmark 1999",1.21995198214777
"Germany 1997",1.16389769961729
"Australia 2012",1.16274546892185
"Norway 2007",1.15558381420785
"Belgium 2009",1.11420712138279
"Netherlands 1999",1.10319834521286
"Finland 2000",1.09115348030874
"Spain 2000",1.0855421913927
"Japan 2010",1.08212642745066
"Spain 2011",1.06978883710413
"Hungary 2009",1.06492859299575
"Turkey 2007",1.05927108545409
"Denmark 2008",1.01414785702553
"Luxembourg 2008",1.00874626060458
"Turkey 2001",1.00764249386643
"Great Britain 2009",1.00614142144533
"Northern Ireland 2008",1.00156791885812
"Norway 1996",0.99817471630825
"Finland 2009",0.965212615190834
"South Korea 2001",0.912690214977097
"Greece 2008",0.910137379104908
"United States 2006",0.889522622077632
"Slovenia 1999",0.872799619885835
"Lithuania 1997",0.852757006680115
"Norway 2008",0.852222803909078
"South Korea 2005",0.823563076751319
"United States 1995",0.802396517799106
"United States 2011",0.78891378512313
"Northern Ireland 1999",0.755715262700685
"Sweden 1996",0.754804931882208
"Chile 2012",0.750992526881377
"Great Britain 1999",0.737260743733582
"Turkey 2009",0.726660465146272
"Finland 2005",0.719656397123121
"Latvia 1999",0.717282651125906
"Ireland 1999",0.689099495818638
"Luxembourg 1999",0.687995482480168
"Poland 2005",0.671781055849717
"Lithuania 1999",0.665078548837403
"Great Britain 2005",0.65795050562458
"Poland 2008",0.646934834171865
"Australia 2005",0.626363417212395
"Australia 1995",0.59543178621947
"Estonia 1999",0.590184117003789
"New Zealand 2004",0.570744154665046
"Latvia 2008",0.55867443412181
"Turkey 1990",0.540195006150057
"Chile 2006",0.537733276254204
"Finland 1996",0.5253489370124
"Canada 2006",0.520136411173991
"Mexico 2000",0.493795815418677
"Ireland 2008",0.457800869817308
"United States 1999",0.440231962369362
"Slovenia 1995",0.433162133157975
"Poland 2012",0.424509560781968
"South Korea 1990",0.351792043971404
"Canada 2000",0.3412016300722
"New Zealand 2011",0.326815327031069
"Chile 2000",0.320812911687059
"Poland 1997",0.308721220741432
"Germany 2013",0.305593396251257
"Hungary 2008",0.302136709997615
"Hungary 1998",0.294877615197546
"South Korea 2010",0.221801889011418
"Slovenia 2008",0.219113815216562
"Estonia 2008",0.179722560791027
"Chile 1996",0.0608340379061695
"Lithuania 2008",0.0223818395818234
"Slovakia 1998",0.0196332826679793
"Mexico 2005",0.0188359509785805
"Iceland 1999",0.00197870648552558
"Mexico 1996",-0.0457252809087399
"Poland 1999",-0.120918598455815
"Czech Republic 2008",-0.308538408460033
"Mexico 2012",-0.309179469983566
"Slovakia 2008",-0.356982966393517
"Estonia 2011",-0.363464885150209
"Slovakia 1999",-0.456542047062421
"New Zealand 1998",-0.717783266293491
"Portugal 1999",-0.726528260780691
"Czech Republic 1999",-0.776654090465349
"Portugal 2008",-0.782535718649622
"Czech Republic 1998",-1.03529802345746
