"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUADULT","TRY","PC_25_64","A","1991",31.15881,
"AUS","EDUADULT","TRY","PC_25_64","A","1993",22.469191,
"AUS","EDUADULT","TRY","PC_25_64","A","1994",23.072365,
"AUS","EDUADULT","TRY","PC_25_64","A","1995",24.315445,
"AUS","EDUADULT","TRY","PC_25_64","A","1997",24.30127,
"AUS","EDUADULT","TRY","PC_25_64","A","1998",25.420708,
"AUS","EDUADULT","TRY","PC_25_64","A","1999",26.693399,
"AUS","EDUADULT","TRY","PC_25_64","A","2000",27.475746,
"AUS","EDUADULT","TRY","PC_25_64","A","2001",28.977322,
"AUS","EDUADULT","TRY","PC_25_64","A","2002",30.759785,
"AUS","EDUADULT","TRY","PC_25_64","A","2003",31.314152,
"AUS","EDUADULT","TRY","PC_25_64","A","2004",30.82308,
"AUS","EDUADULT","TRY","PC_25_64","A","2005",31.691153,
"AUS","EDUADULT","TRY","PC_25_64","A","2006",33.022213,
"AUS","EDUADULT","TRY","PC_25_64","A","2007",33.73671,
"AUS","EDUADULT","TRY","PC_25_64","A","2008",36.149986,
"AUS","EDUADULT","TRY","PC_25_64","A","2009",36.881355,
"AUS","EDUADULT","TRY","PC_25_64","A","2010",37.604309,
"AUS","EDUADULT","TRY","PC_25_64","A","2011",38.342072,
"AUS","EDUADULT","TRY","PC_25_64","A","2012",41.282364,
"AUS","EDUADULT","TRY","PC_25_64","A","2013",39.539928,
"AUS","EDUADULT","TRY","PC_25_64","A","2014",41.901855,
"AUS","EDUADULT","TRY","PC_25_64","A","2015",42.888756,
"AUS","EDUADULT","TRY","PC_25_64","A","2016",43.7439,
"AUS","EDUADULT","TRY","PC_25_64","A","2017",45.355675,
"AUT","EDUADULT","TRY","PC_25_64","A","2004",24.783438,
"AUT","EDUADULT","TRY","PC_25_64","A","2005",24.639351,
"AUT","EDUADULT","TRY","PC_25_64","A","2006",25.356432,
"AUT","EDUADULT","TRY","PC_25_64","A","2007",25.092672,
"AUT","EDUADULT","TRY","PC_25_64","A","2008",26.191858,
"AUT","EDUADULT","TRY","PC_25_64","A","2009",26.895824,
"AUT","EDUADULT","TRY","PC_25_64","A","2010",27.743721,
"AUT","EDUADULT","TRY","PC_25_64","A","2011",27.956152,
"AUT","EDUADULT","TRY","PC_25_64","A","2012",28.739943,
"AUT","EDUADULT","TRY","PC_25_64","A","2013",29.738844,
"AUT","EDUADULT","TRY","PC_25_64","A","2014",29.904896,
"AUT","EDUADULT","TRY","PC_25_64","A","2015",30.550726,
"AUT","EDUADULT","TRY","PC_25_64","A","2016",31.383963,
"AUT","EDUADULT","TRY","PC_25_64","A","2017",32.39439,
"BEL","EDUADULT","TRY","PC_25_64","A","1991",19.620007,
"BEL","EDUADULT","TRY","PC_25_64","A","1992",20.226023,
"BEL","EDUADULT","TRY","PC_25_64","A","1994",22.345255,
"BEL","EDUADULT","TRY","PC_25_64","A","1995",24.604177,
"BEL","EDUADULT","TRY","PC_25_64","A","2000",27.084993,
"BEL","EDUADULT","TRY","PC_25_64","A","2001",27.626753,
"BEL","EDUADULT","TRY","PC_25_64","A","2002",28.134819,
"BEL","EDUADULT","TRY","PC_25_64","A","2003",29.031809,
"BEL","EDUADULT","TRY","PC_25_64","A","2004",30.40086,
"BEL","EDUADULT","TRY","PC_25_64","A","2005",31.045088,
"BEL","EDUADULT","TRY","PC_25_64","A","2006",31.754845,
"BEL","EDUADULT","TRY","PC_25_64","A","2007",32.094864,
"BEL","EDUADULT","TRY","PC_25_64","A","2008",32.310043,
"BEL","EDUADULT","TRY","PC_25_64","A","2009",33.397053,
"BEL","EDUADULT","TRY","PC_25_64","A","2010",34.989502,
"BEL","EDUADULT","TRY","PC_25_64","A","2011",34.612984,
"BEL","EDUADULT","TRY","PC_25_64","A","2012",35.316551,
"BEL","EDUADULT","TRY","PC_25_64","A","2013",35.535332,
"BEL","EDUADULT","TRY","PC_25_64","A","2014",36.855022,
"BEL","EDUADULT","TRY","PC_25_64","A","2015",36.857422,
"BEL","EDUADULT","TRY","PC_25_64","A","2016",37.503956,
"BEL","EDUADULT","TRY","PC_25_64","A","2017",40.257053,
"CAN","EDUADULT","TRY","PC_25_64","A","1990",28.036085,
"CAN","EDUADULT","TRY","PC_25_64","A","1991",28.271395,
"CAN","EDUADULT","TRY","PC_25_64","A","1992",29.020555,
"CAN","EDUADULT","TRY","PC_25_64","A","1993",30.386959,
"CAN","EDUADULT","TRY","PC_25_64","A","1994",33.485878,
"CAN","EDUADULT","TRY","PC_25_64","A","1995",34.537247,
"CAN","EDUADULT","TRY","PC_25_64","A","1996",35.634304,
"CAN","EDUADULT","TRY","PC_25_64","A","1997",37.415951,
"CAN","EDUADULT","TRY","PC_25_64","A","1998",38.258327,
"CAN","EDUADULT","TRY","PC_25_64","A","1999",39.376038,
"CAN","EDUADULT","TRY","PC_25_64","A","2000",40.105782,
"CAN","EDUADULT","TRY","PC_25_64","A","2001",41.881519,
"CAN","EDUADULT","TRY","PC_25_64","A","2002",42.873188,
"CAN","EDUADULT","TRY","PC_25_64","A","2003",44.123833,
"CAN","EDUADULT","TRY","PC_25_64","A","2004",44.548969,
"CAN","EDUADULT","TRY","PC_25_64","A","2005",45.976749,
"CAN","EDUADULT","TRY","PC_25_64","A","2006",46.881516,
"CAN","EDUADULT","TRY","PC_25_64","A","2007",48.181564,
"CAN","EDUADULT","TRY","PC_25_64","A","2008",48.706802,
"CAN","EDUADULT","TRY","PC_25_64","A","2009",49.290722,
"CAN","EDUADULT","TRY","PC_25_64","A","2010",50.311695,
"CAN","EDUADULT","TRY","PC_25_64","A","2011",51.033012,
"CAN","EDUADULT","TRY","PC_25_64","A","2012",52.305416,
"CAN","EDUADULT","TRY","PC_25_64","A","2013",52.971439,
"CAN","EDUADULT","TRY","PC_25_64","A","2014",53.61496,
"CAN","EDUADULT","TRY","PC_25_64","A","2015",55.17366,
"CAN","EDUADULT","TRY","PC_25_64","A","2016",56.265068,
"CAN","EDUADULT","TRY","PC_25_64","A","2017",56.71452,
"CZE","EDUADULT","TRY","PC_25_64","A","1994",10.051514,
"CZE","EDUADULT","TRY","PC_25_64","A","1995",10.607792,
"CZE","EDUADULT","TRY","PC_25_64","A","1997",10.605698,
"CZE","EDUADULT","TRY","PC_25_64","A","1998",10.390572,
"CZE","EDUADULT","TRY","PC_25_64","A","1999",10.835668,
"CZE","EDUADULT","TRY","PC_25_64","A","2000",10.963162,
"CZE","EDUADULT","TRY","PC_25_64","A","2001",11.131626,
"CZE","EDUADULT","TRY","PC_25_64","A","2002",11.94141,
"CZE","EDUADULT","TRY","PC_25_64","A","2003",12.005664,
"CZE","EDUADULT","TRY","PC_25_64","A","2004",12.345678,
"CZE","EDUADULT","TRY","PC_25_64","A","2005",13.058269,
"CZE","EDUADULT","TRY","PC_25_64","A","2006",13.522043,
"CZE","EDUADULT","TRY","PC_25_64","A","2007",13.732669,
"CZE","EDUADULT","TRY","PC_25_64","A","2008",14.498895,
"CZE","EDUADULT","TRY","PC_25_64","A","2009",15.544437,
"CZE","EDUADULT","TRY","PC_25_64","A","2010",16.764982,
"CZE","EDUADULT","TRY","PC_25_64","A","2011",18.243177,
